Ball Number,Deltas
5,0
13,0
42,0
28,1
66,1
19,2
83,2
53,3
67,3
82,3
38,4
45,4
72,4
86,4
32,6
48,6
30,7
50,7
59,7
60,7
65,8
23,9
68,9
73,9
31,10
88,10
8,11
22,11
44,11
27,12
80,12
75,13
79,13
17,14
24,14
58,14
63,14
74,14
16,15
29,15
49,15
52,15
56,15
64,15
77,15
2,16
33,16
43,16
41,17
35,18
85,18
89,18
61,19
9,20
55,20
57,20
84,21
39,22
40,22
15,23
34,23
54,23
76,24
6,25
11,25
20,25
47,25
46,26
3,28
21,28
62,28
90,28
7,29
37,29
1,30
25,30
26,30
69,30
87,30
78,31
10,32
36,32
51,32
70,32
81,32
4,33
12,33
18,33
71,33
14,34
